id,name,displayName,displayNameEn,template,subTemplate,theme,bundleId,category,targetApp,difficulty,description
1,"length-converter","長さ変換","Length Converter","utility","converter","warm-orange","com.massapp.lengthconverter","Utility","Amount ($1.99)",1,"メートル、フィート、インチ、マイル等の長さ単位を変換"
2,"weight-converter","重さ変換","Weight Converter","utility","converter","monochrome","com.massapp.weightconverter","Utility","Convertible ($2.99)",1,"キログラム、ポンド、オンス等の重さ単位を変換"
3,"temperature-converter","温度変換","Temperature Converter","utility","converter","ocean-blue","com.massapp.temperatureconverter","Utility","Unit converters ($2-5)",1,"摂氏、華氏、ケルビンの温度を変換"
4,"area-converter","面積変換","Area Converter","utility","converter","forest-green","com.massapp.areaconverter","Utility","Unit converters ($2-5)",1,"平方メートル、坪、エーカー等の面積を変換"
5,"volume-converter","体積変換","Volume Converter","utility","converter","sunset-purple","com.massapp.volumeconverter","Utility","Convertible ($2.99)",1,"リットル、ガロン、cc等の体積を変換"
6,"speed-converter","速度変換","Speed Converter","utility","converter","sakura-pink","com.massapp.speedconverter","Utility","Unit converters ($2-5)",1,"km/h、mph、m/s、ノット等の速度を変換"
7,"data-converter","データ容量変換","Data Size Converter","utility","converter","midnight-navy","com.massapp.dataconverter","Utility","Unit converters ($2-5)",1,"バイト、KB、MB、GB、TBのデータサイズを変換"
8,"time-converter","時間変換","Time Converter","utility","converter","earth-brown","com.massapp.timeconverter","Utility","Unit converters ($2-5)",1,"秒、分、時間、日、週、月、年を相互変換"
9,"pressure-converter","気圧変換","Pressure Converter","utility","converter","neon-cyber","com.massapp.pressureconverter","Utility","Unit converters ($2-5)",1,"hPa、atm、psi、mmHg等の気圧を変換"
10,"energy-converter","エネルギー変換","Energy Converter","utility","converter","pastel-dream","com.massapp.energyconverter","Utility","Unit converters ($2-5)",1,"カロリー、ジュール、kWh等のエネルギーを変換"
11,"power-converter","電力変換","Power Converter","utility","converter","mint-fresh","com.massapp.powerconverter","Utility","Unit converters ($2-5)",1,"ワット、馬力、kW等の電力単位を変換"
12,"fuel-converter","燃費変換","Fuel Economy Converter","utility","converter","coral-reef","com.massapp.fuelconverter","Utility","Unit converters ($2-5)",1,"km/L、MPG、L/100km等の燃費を変換"
13,"angle-converter","角度変換","Angle Converter","utility","converter","warm-orange","com.massapp.angleconverter","Utility","Unit converters ($2-5)",1,"度、ラジアン、グラジアンの角度を変換"
14,"cooking-converter","料理単位変換","Cooking Unit Converter","utility","converter","monochrome","com.massapp.cookingconverter","Food & Drink","Paprika ($4.99)",1,"カップ、大さじ、小さじ、ml、gの料理用単位を変換"
15,"shoe-size-converter","靴サイズ変換","Shoe Size Converter","utility","converter","ocean-blue","com.massapp.shoesizeconverter","Utility","Size converters ($1-3)",1,"日本、US、UK、EU等の靴サイズを変換"
16,"clothing-size-converter","服サイズ変換","Clothing Size Converter","utility","converter","forest-green","com.massapp.clothingsizeconverter","Utility","Size converters ($1-3)",1,"日本、US、UK、EU等の服サイズを変換"
17,"number-base-converter","進数変換","Number Base Converter","utility","converter","sunset-purple","com.massapp.numberbaseconverter","Utility","Programmer calculators ($2-5)",1,"2進数、8進数、10進数、16進数を相互変換"
18,"color-code-converter","カラーコード変換","Color Code Converter","utility","converter","sakura-pink","com.massapp.colorcodeconverter","Utility","Color tools ($1-3)",1,"HEX、RGB、HSL、CMYKのカラーコードを変換"
19,"timezone-converter","時差計算","Time Zone Converter","utility","converter","midnight-navy","com.massapp.timezoneconverter","Utility","World clock apps ($1-3)",1,"世界各地のタイムゾーンを変換・比較"
20,"currency-converter","通貨変換","Currency Converter","utility","converter","earth-brown","com.massapp.currencyconverter","Finance","Currency ($19.99/yr)",2,"主要通貨のリアルタイムレート変換"
21,"tsubo-meter-converter","坪・平米変換","Tsubo Converter","utility","converter","neon-cyber","com.massapp.tsubometerconverter","Utility","Japanese area converters",1,"坪、平米、畳の不動産面積を変換"
